seed_idx,estimate
542,297214.86540065374
565,291831.8286144979
594,271576.4918626153
747,300345.04145220114
803,283719.2721185258
821,282480.2367476889
846,278448.8484509957
892,285572.19194573676
923,283828.3118304515
988,290627.3689456511
93,287200.21506643505
151,285263.9185769484
241,280619.9736119668
468,289391.9480604389
483,275797.6401203839
503,275045.5810957279
536,277445.082587617
605,278045.5398822534
769,290823.45120129996
784,288599.6361778472
856,299931.0377958578
873,266692.6125443161
965,288658.20635050844
967,275198.0651941675
60,282463.9209734392
182,302497.6821585378
198,268073.4885094072
279,290257.88834785874
406,286246.78687571496
416,273778.20469759597
573,287817.06190442364
577,263347.29512299446
585,269949.6868799778
638,286193.42985123274
712,279964.48582606297
817,275630.6387479967
844,281379.41321849375
894,278376.93541303155
935,304888.41487269185
946,284026.8617276521
962,274890.9290256774
981,287630.4218621477
986,286332.7583357535
47,275276.2836247013
87,288061.3957336614
294,272879.5262106595
330,272073.96977114375
388,267365.9275956228
402,275217.1136933402
444,299896.29573638923
484,286030.17345068336
498,294144.9474791568
579,282048.1782672943
778,284455.07546757197
793,280772.7324495088
841,282051.81827107596
858,300623.58065762545
874,284892.1632872304
878,286311.2088942557
977,282228.8609008538
3,288102.171472093
126,280639.20849354164
135,296487.45481510443
274,277655.1718311356
382,286509.622455474
450,280216.2032945094
470,297434.9380615071
534,280721.2970100732
616,289252.3994057618
703,290005.8347832826
740,282503.35398801166
868,303358.41223018046
883,275470.7791699541
888,285984.43308937823
33,288868.1816152483
46,303906.2775231337
90,266582.1376091744
165,279063.9226967982
173,282241.8313237327
248,276607.2313618384
302,288369.26666436915
427,276336.60105625226
430,275647.80579664797
515,286278.4382307424
572,274981.80958268384
582,291064.39664233103
598,287026.2411026041
753,279184.8828493573
781,282216.9975269489
789,288038.4857245151
875,279636.6057943343
882,276084.8749658472
901,281596.26859373756
16,278222.7656420256
36,277472.6914396054
88,291172.8691217734
154,282295.03258282796
201,291022.77815321356
373,284727.72708936536
476,296761.8830590893
615,283844.7093388594
643,266696.0241022039
672,285461.06275033107
921,290169.33149723994
937,294667.9017827972
948,273721.61566175666
958,266797.4231169091
11,277674.14838941296
209,286360.029625423
255,284401.3632941174
269,273429.91402079683
304,276071.3098150964
309,277357.5309801657
313,279088.49960602156
335,289960.9101254525
453,285300.4385551088
497,289555.1202237457
650,270711.14788413607
690,293662.15709577914
952,277355.58898340486
213,291444.51158343477
372,281715.5275662731
397,278990.7582934669
486,276262.3066623036
495,299784.5172685069
533,279616.1757983898
555,293590.2777530041
625,267324.4279717888
645,295793.1076555079
820,294651.6751486537
837,287080.06518256565
29,273616.7052772564
224,280205.7968761758
253,274677.39361911407
364,280702.6973427949
375,284881.86765564006
422,282518.51571406104
433,285449.7488890407
675,280145.9006701536
680,290139.364109055
684,289712.2025082097
928,283763.17269632086
955,287233.4834967064
39,282019.58867726073
192,281562.6420039483
193,291065.89373974834
222,285160.8296433204
273,287328.33300630306
500,285775.9475190644
548,278629.03562173917
695,283188.2588911079
799,275427.8746483883
70,286753.21957750944
106,278780.5076803206
204,289059.951900733
256,288769.83938881994
268,288419.23809374805
492,278323.9294530368
509,288865.7591071904
553,275461.7757738976
571,275040.0428755997
589,279633.8421420236
842,269663.7391917815
853,297198.8378518293
931,281224.82072503277
954,287900.52673333156
959,274948.6944329278
4,281185.968353252
22,272759.0836940159
48,282996.2621876552
66,290536.13592540985
180,280524.9810426173
234,288966.8016448627
296,292823.3493677478
299,279968.64113429614
429,263611.2254833957
437,279851.7089096372
666,311300.21683608746
716,275567.0996427409
190,291615.0823529144
326,291499.41573085095
443,275820.9308474894
513,301335.68954582966
804,281747.68769653037
848,277537.81810474274
973,278678.4358346626
991,291294.46182124043
15,271814.6394842016
50,282751.58630910557
68,297409.36847354576
244,292824.43168513186
261,278854.65376806346
345,277967.69057284534
512,284904.81615217787
838,283769.0677898451
990,286951.18112354074
155,280939.90334716724
257,288415.5631340362
291,285127.9882692933
298,297049.2935850359
301,283477.25007679494
431,295454.5619883444
452,301141.9137255878
459,308791.5228660245
606,289636.5817503094
647,288966.8016448627
656,294620.7816739672
704,299557.238664193
741,267756.02133199584
871,296667.48065245384
72,270499.2055025684
137,289590.84517840977
157,296344.3894976712
210,295831.15836961183
254,288307.03655995836
287,278550.37264434167
310,287216.8483181972
469,276455.1114769138
479,282420.1194219511
485,292176.90683285944
514,283824.37162627396
550,272903.21384904307
581,291950.7851023148
626,287537.83830652275
727,285051.6613061802
767,284052.7279923492
802,294922.83062237233
9,293613.37216030166
77,303697.33652921027
96,287221.5601215174
229,283892.4627782978
343,287690.1793596286
371,288756.36729831755
380,276690.89137052756
461,292604.0206169471
487,294950.17059110117
502,288799.62980155175
539,277396.3766271456
671,283235.2355500019
733,277062.24743168574
759,293140.5398243144
930,294932.4923615141
56,281184.34661869355
480,293729.22542352305
556,282388.40953639103
655,276666.34843320114
697,274968.44804364454
708,293006.10373918375
943,293513.5129255449
208,285339.7426468748
305,290858.58550295077
358,280935.12142697565
387,290566.05212451937
428,287765.2083993034
597,287097.17870798823
717,282121.92549764697
745,281529.4236179159
756,287899.03586546093
798,278676.083192234
863,291621.25453346584
911,296788.78679515875
953,284682.9137925461
6,274736.11731436296
10,300133.7466464548
31,269382.2436541585
194,279030.50504588196
203,282168.9510101262
465,286751.66272623045
631,282646.66831476847
644,288939.40043824405
783,269515.4910487134
787,297969.2185602049
862,279290.9813368229
113,285812.2378374477
174,269600.2367336177
252,307132.33424267074
464,297941.87630088517
541,294815.82528945844
51,274304.1120748279
187,294208.84608853597
188,287159.3039035605
240,280727.36481439456
354,297441.8615883861
532,286207.2842205885
723,293792.837977553
773,289631.07565740036
806,261773.2747547277
826,280999.78452617634
872,284181.3145172197
996,275195.96213381726
76,280573.1648409462
220,299458.28357246285
277,281887.87911985756
350,284501.2473858228
366,289306.05806681624
462,281440.0130664717
490,291710.8610790807
617,289552.1074397267
709,292445.02909586206
762,280557.8634497473
811,278259.606166204
903,288481.5166494631
905,283126.9292155362
951,290869.05069248244
960,282329.03557239316
8,278989.0389738117
127,287963.51038610993
237,280719.00921752356
412,274589.18858011474
414,293170.967678791
451,292480.87350449344
877,286255.47478603234
884,281955.8540078914
922,276140.0151487532
168,291667.3663045706
361,289646.32381216396
409,276594.2907991547
677,288788.2602969092
752,292748.3642570819
881,290072.0132153268
909,289609.05337906
30,287687.0452930463
140,298540.9674816828
251,289766.98907804495
546,276903.26319260383
814,277117.70605065406
994,283069.6716904301
54,308980.5976137006
147,285056.1741294497
246,281270.24944131414
568,275458.1362701963
569,286299.698216875
628,279736.5287650529
722,294149.2613572873
879,309296.52404282027
963,318618.06485473545
49,274641.8763040176
143,273774.79876176367
202,267199.9162428714
297,294784.3283893637
328,294943.9047338975
341,282914.8080703204
393,291388.77072441654
